Team,Win,Draw,Loss,Goal,Clean_sheet,Shoot,Shoot on target,Clear,Block,Tackle,Pass,Key_pass,Foul,Yellow_card
意大利,3,0,0,7,0,65,17,31,17,37,1803,55,31,2
威尔士,1,1,1,3,2,30,8,71,10,26,1239,32,37,9
瑞士,1,1,1,4,5,47,15,44,15,31,1544,38,35,5
土耳其,0,0,3,1,8,40,12,64,12,35,1348,38,48,7
比利时,3,0,0,7,1,32,16,40,5,19,1536,27,33,1
丹麦,1,0,2,5,4,56,22,35,16,26,1537,42,32,3
芬兰,1,0,2,1,3,19,3,95,11,53,1141,18,30,4
俄罗斯,1,0,2,2,7,25,6,57,5,20,1212,18,38,5
荷兰,3,0,0,8,2,46,18,27,11,27,1743,31,34,1
奥地利,2,0,1,4,3,40,10,35,10,30,1623,28,41,4
乌克兰,1,0,2,4,5,29,14,50,6,32,1318,24,27,2
北马其顿,0,0,3,2,8,33,8,41,9,39,1135,24,33,8
英格兰,2,1,0,2,0,22,6,27,4,27,1540,17,33,1
克罗地亚,1,1,1,4,3,30,10,46,6,24,1529,24,27,5
捷克,1,1,1,3,2,28,9,63,5,26,1204,22,28,4
苏格兰,0,1,2,1,5,41,9,39,19,26,1144,28,28,3
瑞典,2,1,0,4,2,28,9,102,8,36,845,17,40,3
西班牙,1,2,0,6,1,48,19,17,8,18,2291,31,30,4
斯洛伐克,1,0,2,2,7,24,2,72,11,35,1364,19,34,6
波兰,0,1,2,4,6,40,11,58,10,29,1231,31,45,7
法国,1,2,0,4,3,30,10,36,3,32,1676,25,37,5
德国,1,1,1,6,5,40,15,23,10,24,1994,29,33,5
葡萄牙,1,1,1,7,6,28,14,30,2,11,1631,21,29,1
匈牙利,0,2,1,3,6,19,10,73,2,27,860,14,37,6
